,Brand_Name_n,Year,Kilometers_Driven,Fuel_Type_n,Transmission_n,Owner_Type_n,Mileage,Engine,Power,Seats,Price
0,17,2010,72000,0,1,0,26.6,998.0,58.16,5.0,1.75
1,10,2015,41000,1,1,0,19.67,1582.0,126.2,5.0,12.5
2,9,2011,46000,4,1,0,18.2,1199.0,88.7,5.0,4.5
3,17,2012,87000,1,1,0,20.77,1248.0,88.76,7.0,6.0
4,1,2013,40670,1,0,2,15.2,1968.0,140.8,5.0,17.74
5,10,2012,75000,3,1,0,21.1,814.0,55.2,5.0,2.35
6,21,2013,86999,1,1,0,23.08,1461.0,63.1,5.0,3.5
7,27,2016,36000,1,0,0,11.36,2755.0,171.5,8.0,17.5
8,28,2013,64430,1,1,0,20.54,1598.0,103.6,5.0,5.2
9,26,2012,65932,1,1,2,22.3,1248.0,74.0,5.0,1.95
10,17,2018,25692,4,1,0,21.56,1462.0,103.25,5.0,9.95
11,9,2012,60000,4,0,0,16.8,1497.0,116.3,5.0,4.49
12,17,2015,64424,1,1,0,25.2,1248.0,74.0,5.0,5.6
13,15,2014,72000,1,0,0,12.7,2179.0,187.7,5.0,27.0
14,15,2012,85000,1,0,2,17.0,2179.0,115.0,5.0,17.5
15,20,2014,110000,1,1,0,13.5,2477.0,175.56,7.0,15.0
16,9,2016,58950,1,1,0,25.8,1498.0,98.6,5.0,5.4
17,17,2017,25000,1,1,0,28.4,1248.0,74.0,5.0,5.99
18,23,2014,77469,1,1,0,20.45,1461.0,83.8,5.0,6.34
19,18,2014,78500,1,0,0,14.84,2143.0,167.62,5.0,28.0
20,2,2014,32982,1,0,0,22.69,1995.0,190.0,5.0,18.55
21,17,2015,55392,1,1,2,23.65,1248.0,88.5,5.0,8.25
22,1,2015,55985,4,0,0,13.53,1984.0,177.01,5.0,23.5
23,10,2010,45807,4,1,0,18.5,1197.0,80.0,5.0,1.87
24,28,2010,33000,4,0,0,14.4,1598.0,103.6,5.0,2.85
25,9,2012,51920,4,1,0,16.8,1497.0,116.3,5.0,4.25
26,21,2012,54000,1,1,0,23.08,1461.0,63.1,5.0,4.25
27,17,2013,54000,4,1,2,20.92,998.0,67.1,5.0,2.75
